Audience Segment,Audience1,Audience2,Audience3,Audience4,Audience5,Audience6,Audience7,Creative Size,Creative Messaging,Location,City,State,URL,Publisher,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Conversions,Gross Cost,322,CPC  (Gross Cost/Clicks),CPA (Cost/Conversions),CPM,CVR (Conversion/Clicks),CTR (Clicks/Impressions),Viewability
Lotame>Social Media,Lotame,Social Media,,,,,,300x250,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,msn.com,Msn,Google Ad Manager,Smartphone,"554,980.00",32,"323,498.00","467,646.00",8,"$1,600.77",,$50.02,$200.10,$2.88,25.00%,0.01%,69.18%
Online Behavior>United States>Travel>Travel,Online Behavior,United States,Travel,Travel,,,,320x50,Subscribe Today - 10% Discount,"New York City,New York",New York City,New York,cnn.com,Cnn,Google Ad Manager,Smartphone,"272,509.00",31,"89,526.00","237,859.00",69,"$8,168.35",,$263.50,$118.38,$29.97,222.58%,0.01%,37.64%
Online Behavior>United States>Beauty and Fitness>Face and Body Care>Skin and Nail Care,Online Behavior,United States,Beauty and Fitness,Face and Body Care,Skin and Nail Care,,,300x50,10% Discount - Ends 6/1,"Los Angeles,California",Los Angeles,California,apnews.com,Apnews,BidSwitch,Smartphone,"100,800.00",29,"14,473.00","85,424.00",3,"$7,004.73",,$241.54,"$2,334.91",$69.49,10.34%,0.03%,16.94%
US>Interest Propensities>Activities and Interests>National News,US,Interest Propensities,Activities and Interests,National News,,,,320x50,10% Discount - Ends 6/1,"New York City,New York",New York City,New York,nbcnews.com,Nbcnews,BidSwitch,Smartphone,"20,486.00",29,"14,583.00","19,860.00",1,"$1,718.51",,$59.26,"$1,718.51",$83.89,3.45%,0.14%,73.43%
Media & Entertainment,Media & Entertainment,,,,,,,300x250,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,yahoo.com,Yahoo,Google Ad Manager,Smartphone,"421,110.00",29,"212,140.00","389,474.00",4,"$1,635.92",,$56.41,$408.98,$3.88,13.79%,0.01%,54.47%
US>Multibuyer Behaviors>Club>Continuity Buyers,US,Multibuyer Behaviors,Club,Continuity Buyers,,,,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,zdnet.com,Zdnet,Index Exchange,Smartphone,"12,692.00",29,"9,048.00","12,326.00",14,"$1,541.72",,$53.16,$110.12,$121.47,48.28%,0.23%,73.41%
Mobile - US>Demographics>Finance>Rent Value>Lowest Rent Value,Mobile - US,Demographics,Finance,Rent Value,Lowest Rent Value,,,320x50,10% Discount - Ends 6/1,"Charleston,South Carolina",Charleston,South Carolina,outlook.live.com,Outlook,Google Ad Manager,Smartphone,"55,274.00",29,"47,583.00","51,275.00",3,"$1,532.76",,$52.85,$510.92,$27.73,10.34%,0.05%,92.80%
Online Behavior>United States>Sports>Individual Sports>Skate Sports,Online Behavior,United States,Sports,Individual Sports,Skate Sports,,,320x50,Sign up Today - 10% Off,"Charleston,South Carolina",Charleston,South Carolina,medical-news.org,Medical-News,Yahoo Exchange,Smartphone,"117,879.00",28,"52,098.00","86,127.00",1,"$5,102.71",,$182.24,"$5,102.71",$43.29,3.57%,0.02%,60.49%
Online Behavior>United States>Finance>Insurance>Travel Insurance,Online Behavior,United States,Finance,Insurance,Travel Insurance,,,300x250,10% Discount - Ends 6/1,"Nashville,Tennessee",Nashville,Tennessee,weather.com,Weather,Magnite DV+,Smartphone,"61,574.00",28,"18,717.00","46,367.00",4,"$4,999.67",,$178.56,"$1,249.92",$81.20,14.29%,0.05%,40.37%
Tech Enthusiasts,Tech Enthusiasts,,,,,,,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,nypost.com,Nypost,Google Ad Manager,Smartphone,"29,092.00",28,"16,986.00","26,606.00",15,"$1,801.06",,$64.32,$120.07,$61.91,53.57%,0.10%,63.84%
OnAudience>Intent>Animals & Pet,OnAudience,Intent,Animals & Pet,,,,,300x250,Subscribe Today - 10% Discount,"New York City,New York",New York City,New York,a-z-animals.com,A-Z-Animals,OpenX,Smartphone,"75,161.00",28,"40,385.00","70,325.00",3,"$1,506.46",,$53.80,$502.15,$20.04,10.71%,0.04%,57.43%
Online Behavior>United States>Sports>Team Sports>American Football,Online Behavior,United States,Sports,Team Sports,American Football,,,320x50,Sign up Today - 10% Off,"Nashville,Tennessee",Nashville,Tennessee,msn.com,Msn,PubMatic,Smartphone,"458,931.00",27,"264,325.00","378,011.00",30,"$7,462.68",,$276.40,$248.76,$16.26,111.11%,0.01%,69.93%
Online Behavior>United States>Autos and Vehicles>Brands>Mercedes-Benz,Online Behavior,United States,Autos and Vehicles,Brands,Mercedes-Benz,,,320x50,Subscribe Today - 10% Discount,"Nashville,Tennessee",Nashville,Tennessee,accuweather.com,Accuweather,PubMatic,Smartphone,"23,965.00",27,"13,608.00","21,704.00",1,"$5,706.86",,$211.37,"$5,706.86",$238.13,3.70%,0.11%,62.70%
Online Behavior>United States>The Changing Consumer>Delivery Services and Quick Service Restaurants,Online Behavior,United States,The Changing Consumer,Delivery Services and Quick Service Restaurants,,,,300x250,Subscribe Today - 10% Discount,"Los Angeles,California",Los Angeles,California,mail.aol.com,Mail,PubMatic,Smartphone,"103,665.00",27,"77,283.00","94,019.00",4,"$5,284.69",,$195.73,"$1,321.17",$50.98,14.81%,0.03%,82.20%
