Audience Segment,Audience1,Audience2,Audience3,Audience4,Audience5,Audience6,Audience7,Creative Size,Creative Messaging,Location,City,State,URL,Publisher,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Conversions,Gross Cost,322,CPC  (Gross Cost/Clicks),CPA (Cost/Conversions),CPM,CVR (Conversion/Clicks),CTR (Clicks/Impressions),Viewability
Online Behavior>United States>Intent>Auto Buyers>Type>Sedan,Online Behavior,United States,Intent,Auto Buyers,Type,Sedan,,300x250,Sign up Today - 10% Off,"Chicago,Illinois",Chicago,Illinois,mail.aol.com,Mail,Index Exchange,Windows PC,"25,889.00",11,"18,382.00","23,328.00",15,"$4,977.78",,$452.53,$331.85,$192.27,136.36%,0.04%,78.80%
US>Reach>Propensity Models>Lifestyle>Charities>Contributes by Volunteering,US,Reach,Propensity Models,Lifestyle,Charities,Contributes by Volunteering,,300x50,Subscribe Today - 10% Discount,"San Francisco,California",San Francisco,California,sneakertoast.com,Sneakertoast,PubMatic,Smartphone,"15,475.00",11,"6,019.00","10,952.00",9,"$4,156.71",,$377.88,$461.86,$268.61,81.82%,0.07%,54.96%
US>Reach>Propensity Models>Hobbies and Interest>Sports>NHL Enthusiast,US,Reach,Propensity Models,Hobbies and Interest,Sports,NHL Enthusiast,,300x250,Sign up Now - 10% Off,"New York City,New York",New York City,New York,realtor.com,Realtor,Sovrn,Smartphone,"114,267.00",11,"60,964.00","108,301.00",5,"$2,679.15",,$243.56,$535.83,$23.45,45.45%,0.01%,56.29%
US>B2B>B2B Decision Maker Responsibilities>Financial Services,US,B2B,B2B Decision Maker Responsibilities,Financial Services,,,,300x250,Sign up Now - 10% Off,"New York City,New York",New York City,New York,androidpolice.com,Androidpolice,Taboola,Apple PC,"11,668.00",11,"7,860.00","11,009.00",1,"$2,653.98",,$241.27,"$2,653.98",$227.46,9.09%,0.09%,71.40%
US>Response Performance>Direct Marketing Responders,US,Response Performance,Direct Marketing Responders,,,,,300x250,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,baseball-reference.com,Baseball-Reference,Xandr - Monetize SSP (AppNexus),Smartphone,"117,713.00",11,"16,357.00","100,222.00",5,"$2,505.40",,$227.76,$501.08,$21.28,45.45%,0.01%,16.32%
"US>B2B>Purchase DM>Technology Services, Hardware and>or Software>I have no input into the final decision",US,B2B,Purchase DM,"Technology Services, Hardware and",or Software,I have no input into the final decision,,300x250,10% Discount - Ends 6/1,"Los Angeles,California",Los Angeles,California,biblegateway.com,Biblegateway,Google Ad Manager,Smartphone,"130,796.00",11,"109,118.00","122,937.00",6,"$2,196.66",,$199.70,$366.11,$16.79,54.55%,0.01%,88.76%
Travel and Tourism>In-Market,Travel and Tourism,In-Market,,,,,,300x250,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,realtor.com,Realtor,Google Ad Manager,Apple PC,"48,892.00",11,"32,060.00","45,251.00",9,"$1,978.61",,$179.87,$219.85,$40.47,81.82%,0.02%,70.85%
US>Interest Propensities>Insurance>Transamerica,US,Interest Propensities,Insurance,Transamerica,,,,300x250,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,yahoo.com,Yahoo,Google Ad Manager,Apple PC,"598,460.00",11,"201,153.00","557,263.00",13,"$1,689.74",,$153.61,$129.98,$2.82,118.18%,0.00%,36.10%
US>Interest Propensities>Activities and Interests>College Life,US,Interest Propensities,Activities and Interests,College Life,,,,320x50,Subscribe Today - 10% Discount,"Jackson,Mississippi",Jackson,Mississippi,msn.com,Msn,Xandr - Monetize SSP (AppNexus),Smartphone,"171,575.00",11,"101,487.00","136,036.00",8,"$1,658.33",,$150.76,$207.29,$9.67,72.73%,0.01%,74.60%
US>Brand Propensities>Restaurants and Dining>Seamless Buyer Propensity,US,Brand Propensities,Restaurants and Dining,Seamless Buyer Propensity,,,,300x250,Sign up Now - 10% Off,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,yahoo.com,Yahoo,BidSwitch,Smartphone,"335,664.00",11,"148,742.00","313,071.00",70,"$1,542.50",,$140.23,$22.04,$4.60,636.36%,0.00%,47.51%
US Financial>Likely Bank Account and Services>Saving Account>Personal or Join (Financial),US Financial,Likely Bank Account and Services,Saving Account,Personal or Join (Financial),,,,300x250,Sign up Today - 10% Off,"Shreveport,Louisiana",Shreveport,Louisiana,msn.com,Msn,Magnite DV+,Smartphone,"177,632.00",11,"70,865.00","95,871.00",5,"$1,483.38",,$134.85,$296.68,$8.35,45.45%,0.01%,73.92%
Online Behavior>United States>Finance>Insurance>Insurance,Online Behavior,United States,Finance,Insurance,Insurance,,,320x50,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,foxnews.com,Foxnews,Magnite DV+,Smartphone,"122,086.00",10,"82,898.00","116,235.00",16,"$7,663.70",,$766.37,$478.98,$62.77,160.00%,0.01%,71.32%
"Online Behavior>United States>Arts and Entertainment>Events and Listings>Bars, Clubs and Nightlife",Online Behavior,United States,Arts and Entertainment,Events and Listings,"Bars, Clubs and Nightlife",,,300x250,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,activebeat.com,Activebeat,Magnite DV+,Windows PC,"81,905.00",10,"61,995.00","71,110.00",24,"$7,065.67",,$706.57,$294.40,$86.27,240.00%,0.01%,87.18%
Online Behavior>United States>News>Newspapers,Online Behavior,United States,News,Newspapers,,,,320x50,10% Discount - Ends 6/1,"New York City,New York",New York City,New York,calculator.net,Calculator,PubMatic,Smartphone,"37,176.00",10,"31,829.00","35,639.00",6,"$6,753.60",,$675.36,"$1,125.60",$181.67,60.00%,0.03%,89.31%
Online Behavior>United States>Finance>Investing>Derivatives,Online Behavior,United States,Finance,Investing,Derivatives,,,320x50,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,biblegateway.com,Biblegateway,Index Exchange,Smartphone,"114,384.00",10,"61,524.00","105,104.00",12,"$5,803.33",,$580.33,$483.61,$50.74,120.00%,0.01%,58.54%
Online Behavior>United States>Autos and Vehicles>Brands>Vauxhall-Opel,Online Behavior,United States,Autos and Vehicles,Brands,Vauxhall-Opel,,,300x50,Sign up Today - 10% Off,"Los Angeles,California",Los Angeles,California,wsmv.com,Wsmv,Google Ad Manager,Smartphone,"17,382.00",10,"7,411.00","16,576.00",1,"$5,797.22",,$579.72,"$5,797.22",$333.52,10.00%,0.06%,44.71%
Online Behavior>United States>Intent>Shopping>Consumer Electronics>Video Game Consoles,Online Behavior,United States,Intent,Shopping,Consumer Electronics,Video Game Consoles,,300x250,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,factinate.com,Factinate,Magnite DV+,Apple PC,"39,314.00",10,"27,671.00","35,488.00",2,"$5,530.80",,$553.08,"$2,765.40",$140.68,20.00%,0.03%,77.97%
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 45-54,Online Behavior,United States,Validated Demographic,Gender and Age Combined,Females 45-54,,,320x50,Subscribe Today - 10% Discount,"Los Angeles,California",Los Angeles,California,cbsnews.com,Cbsnews,Google Ad Manager,Smartphone,"43,117.00",10,"6,478.00","27,405.00",8,"$4,250.43",,$425.04,$531.30,$98.58,80.00%,0.02%,23.64%
US>Reach>Propensity Models>Hobbies and Interest>Sports>Plays Tennis,US,Reach,Propensity Models,Hobbies and Interest,Sports,Plays Tennis,,300x250,Sign up Now - 10% Off,"New York City,New York",New York City,New York,rollingstone.com,Rollingstone,Google Ad Manager,Windows PC,"33,650.00",10,"15,621.00","32,539.00",1,"$3,844.99",,$384.50,"$3,844.99",$114.26,10.00%,0.03%,48.01%
US>AUTO>Primary Vehicle>New or Used>Pre-owned,US,AUTO,Primary Vehicle,New or Used,Pre-owned,,,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,billboard.com,Billboard,Google Ad Manager,Smartphone,"11,325.00",10,"6,186.00","10,612.00",2,"$1,573.25",,$157.33,$786.63,$138.92,20.00%,0.09%,58.29%
OnAudience>Intent>Software>Video Game Software,OnAudience,Intent,Software,Video Game Software,,,,300x250,Sign up Today - 10% Off,"San Francisco,California",San Francisco,California,activebeat.com,Activebeat,Google Ad Manager,Windows PC,"76,439.00",10,"58,269.00","66,924.00",15,"$1,524.81",,$152.48,$101.65,$19.95,150.00%,0.01%,87.07%
Travel and Tourism>Interest (Affinity)>Destinations>Latin America,Travel and Tourism,Interest (Affinity),Destinations,Latin America,,,,320x50,10% Discount - Ends 6/1,"Orlando-Daytona Beach,Florida",Orlando-Daytona Beach,Florida,factable.com,Factable,Magnite DV+,Smartphone,"31,243.00",10,"16,326.00","25,991.00",21,"$1,452.59",,$145.26,$69.17,$46.49,210.00%,0.03%,62.81%
Online Behavior>United States>Beauty and Fitness>Fashion and Style,Online Behavior,United States,Beauty and Fitness,Fashion and Style,,,,320x50,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,miamiherald.com,Miamiherald,Xandr - Monetize SSP (AppNexus),Smartphone,"7,320.00",9,"4,020.00","6,692.00",54,"$7,982.01",,$886.89,$147.81,"$1,090.44",600.00%,0.12%,60.07%
Online Behavior>United States>Intent>Auto Buyers>Car Make>Audi Q,Online Behavior,United States,Intent,Auto Buyers,Car Make,Audi Q,,300x250,Sign up Now - 10% Off,"Grand Rapids-Kalamazoo,Michigan",Grand Rapids-Kalamazoo,Michigan,accuweather.com,Accuweather,Xandr - Monetize SSP (AppNexus),Smartphone,"10,501.00",9,"4,126.00","7,654.00",8,"$6,244.52",,$693.84,$780.56,$594.66,88.89%,0.09%,53.91%
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 18-54,Online Behavior,United States,Validated Demographic,Gender and Age Combined,Females 18-54,,,320x50,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,daily-choices.com,Daily-Choices,PubMatic,Smartphone,"28,553.00",9,"11,390.00","23,355.00",13,"$5,573.11",,$619.23,$428.70,$195.18,144.44%,0.03%,48.77%
Online Behavior>United States>Intent>Travel>Luxury Travel,Online Behavior,United States,Intent,Travel,Luxury Travel,,,320x50,Sign up Today - 10% Off,"Huntsville-Decatur (Florence),Alabama",Huntsville-Decatur (Florence),Alabama,seedsgames.com,Seedsgames,Google Ad Manager,Smartphone,"14,509.00",9,866.00,"13,268.00",1,"$5,521.19",,$613.47,"$5,521.19",$380.54,11.11%,0.06%,6.53%
Online Behavior>United States>Sports>Fantasy Sports,Online Behavior,United States,Sports,Fantasy Sports,,,,320x50,Sign up Now - 10% Off,"Tallahassee,Florida-Thomasville,Georgia",#REF!,,cargurus.com,Cargurus,Index Exchange,Smartphone,"45,285.00",9,"30,225.00","43,298.00",1,"$4,728.01",,$525.33,"$4,728.01",$104.41,11.11%,0.02%,69.81%
Online Behavior>United States>Travel>Business Travel,Online Behavior,United States,Travel,Business Travel,,,,320x50,Sign up Today - 10% Off,"Chicago,Illinois",Chicago,Illinois,marca.com,Marca,Google Ad Manager,Smartphone,"45,965.00",9,"10,028.00","37,295.00",1,"$4,718.84",,$524.32,"$4,718.84",$102.66,11.11%,0.02%,26.89%
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 25-44,Online Behavior,United States,Validated Demographic,Gender and Age Combined,Males 25-44,,,300x250,Sign up Now - 10% Off,"Nashville,Tennessee",Nashville,Tennessee,cars.com,Cars,Google Ad Manager,Apple PC,"47,394.00",9,"22,712.00","41,918.00",24,"$4,701.50",,$522.39,$195.90,$99.20,266.67%,0.02%,54.18%
Online Behavior>United States>Autos and Vehicles>Brands>GM-Daewoo,Online Behavior,United States,Autos and Vehicles,Brands,GM-Daewoo,,,320x50,Sign up Now - 10% Off,"Rockford,Illinois",Rockford,Illinois,msn.com,Msn,Google Ad Manager,Smartphone,"48,436.00",9,"16,543.00","42,427.00",4,"$4,386.65",,$487.41,"$1,096.66",$90.57,44.44%,0.02%,38.99%
Online Behavior>United States>Travel>Travel Guides and Travelogues,Online Behavior,United States,Travel,Travel Guides and Travelogues,,,,320x50,Subscribe Today - 10% Discount,"San Francisco,California",San Francisco,California,weather.com,Weather,Google Ad Manager,Smartphone,"212,009.00",9,"16,903.00","149,653.00",15,"$3,983.62",,$442.62,$265.57,$18.79,166.67%,0.00%,11.29%
Telecommunications (Telco),Telecommunications (Telco),,,,,,,320x50,Sign up Now - 10% Off,"Birmingham,Alabama",Birmingham,Alabama,biblegateway.com,Biblegateway,Google Ad Manager,Smartphone,"65,380.00",9,"30,039.00","60,482.00",5,"$2,905.88",,$322.88,$581.18,$44.45,55.56%,0.01%,49.67%
US>Reach>Propensity Models>Hobbies and Interest>Food and Drinks>Eats at Family Restaurants,US,Reach,Propensity Models,Hobbies and Interest,Food and Drinks,Eats at Family Restaurants,,320x50,Subscribe Today - 10% Discount,"Flint-Saginaw-Bay City,Michigan",Flint-Saginaw-Bay City,Michigan,poshland.com,Poshland,Google Ad Manager,Smartphone,"268,811.00",9,"95,989.00","173,923.00",4,"$2,549.12",,$283.24,$637.28,$9.48,44.44%,0.00%,55.19%
US>Interest Propensities>Food and Drink>American Cuisine,US,Interest Propensities,Food and Drink,American Cuisine,,,,320x50,Sign up Today - 10% Off,"Chicago,Illinois",Chicago,Illinois,realtor.com,Realtor,Google Ad Manager,Smartphone,"85,280.00",9,"35,860.00","79,837.00",5,"$2,217.93",,$246.44,$443.59,$26.01,55.56%,0.01%,44.92%
US>Reach>Propensity Models>Hobbies and Interest>Music>Listens to Country Music,US,Reach,Propensity Models,Hobbies and Interest,Music,Listens to Country Music,,300x250,10% Discount - Ends 6/1,"San Francisco,California",San Francisco,California,microsoftcasualgames.com,Microsoftcasualgames,PulsePoint,Smartphone,"292,578.00",9,"6,474.00","12,323.00",4,"$1,826.32",,$202.92,$456.58,$6.24,44.44%,0.00%,52.54%
US>Interest Propensities>Insurance>New York Life,US,Interest Propensities,Insurance,New York Life,,,,300x250,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,nytimes.com,Nytimes,Magnite DV+,Smartphone,"14,932.00",9,"8,947.00","14,256.00",1,"$1,724.42",,$191.60,"$1,724.42",$115.48,11.11%,0.06%,62.76%
Mobile - US>Gamers>Online>Users,Mobile - US,Gamers,Online,Users,,,,320x50,Subscribe Today - 10% Discount,"Rockford,Illinois",Rockford,Illinois,the-sun.com,The-Sun,Magnite DV+,Smartphone,"16,372.00",9,"4,731.00","15,332.00",6,"$1,704.51",,$189.39,$284.09,$104.11,66.67%,0.05%,30.86%
OnAudience>Interest>Pets,OnAudience,Interest,Pets,,,,,320x50,Sign up Today - 10% Off,"West Palm Beach-Ft. Pierce,Florida",West Palm Beach-Ft. Pierce,Florida,soaps.sheknows.com,Soaps,Google Ad Manager,Smartphone,"20,572.00",9,"2,226.00","16,510.00",10,"$1,529.31",,$169.92,$152.93,$74.34,111.11%,0.04%,13.48%
US>Interest Propensities>Insurance>Northwestern Mutual,US,Interest Propensities,Insurance,Northwestern Mutual,,,,300x250,Sign up Today - 10% Off,"Chicago,Illinois",Chicago,Illinois,ebay.com,Ebay,GumGum,Smartphone,"229,908.00",9,"98,259.00","212,073.00",4,"$1,464.35",,$162.71,$366.09,$6.37,44.44%,0.00%,46.33%
Purchase-Based>Categories>Office Supplies Buyers,Purchase-Based,Categories,Office Supplies Buyers,,,,,300x250,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,weather.com,Weather,Sharethrough,Smartphone,"12,280.00",9,"7,633.00","11,053.00",1,"$1,452.21",,$161.36,"$1,452.21",$118.26,11.11%,0.07%,69.06%
Online Behavior>United States>Home and Garden>Home Appliances,Online Behavior,United States,Home and Garden,Home Appliances,,,,300x250,10% Discount - Ends 6/1,"Tampa-St Petersburg (Sarasota),Florida",Tampa-St Petersburg (Sarasota),Florida,news.yahoo.com,News,BidSwitch,Smartphone,"8,420.00",8,"4,430.00","7,869.00",8,"$5,184.59",,$648.07,$648.07,$615.75,100.00%,0.10%,56.30%
Online Behavior>United States>Hobbies and Leisure>Water Activities,Online Behavior,United States,Hobbies and Leisure,Water Activities,,,,320x50,Sign up Now - 10% Off,"Charleston,South Carolina",Charleston,South Carolina,weather.com,Weather,Google Ad Manager,Smartphone,"156,427.00",8,"61,821.00","145,505.00",3,"$5,159.75",,$644.97,"$1,719.92",$32.99,37.50%,0.01%,42.49%
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 25-54,Online Behavior,United States,Validated Demographic,Gender and Age Combined,Males 25-54,,,300x250,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,marca.com,Marca,Sharethrough,Smartphone,"9,725.00",8,"6,616.00","8,778.00",1,"$4,942.28",,$617.79,"$4,942.28",$508.20,12.50%,0.08%,75.37%
US>Reach>Propensity Models>Travel>High Frequency Travel>Foreign Vacationer,US,Reach,Propensity Models,Travel,High Frequency Travel,Foreign Vacationer,,320x50,10% Discount - Ends 6/1,"New York City,New York",New York City,New York,nsfas-applications.co.za,Nsfas-Applications,PubMatic,Smartphone,"15,588.00",8,"2,089.00","14,526.00",9,"$3,518.53",,$439.82,$390.95,$225.72,112.50%,0.05%,14.38%
US>Reach>Propensity Models>Finance>Credit>Debit Card>Major Credit Card User,US,Reach,Propensity Models,Finance,Credit,Debit Card,Major Credit Card User,320x50,Sign up Today - 10% Off,"Chicago,Illinois",Chicago,Illinois,m.timesofindia.com,M,BidSwitch,Smartphone,"12,868.00",8,"6,472.00","11,922.00",1,"$3,137.14",,$392.14,"$3,137.14",$243.79,12.50%,0.06%,54.29%
OnAudience>Interest>Careers,OnAudience,Interest,Careers,,,,,320x50,Subscribe Today - 10% Discount,"Flint-Saginaw-Bay City,Michigan",Flint-Saginaw-Bay City,Michigan,biblegateway.com,Biblegateway,Google Ad Manager,Smartphone,"77,313.00",8,"40,366.00","71,128.00",2,"$1,790.39",,$223.80,$895.20,$23.16,25.00%,0.01%,56.75%
OnAudience>Intent>Sporting Goods,OnAudience,Intent,Sporting Goods,,,,,300x250,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,calculator.net,Calculator,PubMatic,Smartphone,"22,004.00",8,"18,735.00","21,127.00",4,"$1,632.47",,$204.06,$408.12,$74.19,50.00%,0.04%,88.68%
US Home>Dwelling Type>Single-Family,US Home,Dwelling Type,Single-Family,,,,,300x250,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,gamerant.com,Gamerant,Google Ad Manager,Windows PC,"16,202.00",8,"11,786.00","15,365.00",1,"$1,570.34",,$196.29,"$1,570.34",$96.92,12.50%,0.05%,76.71%
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Olympics>Winter Olympics,Media and Entertainment,Sports and Recreational Activities,Interest (Affinity),Olympics,Winter Olympics,,,320x50,10% Discount - Ends 6/1,"Toledo,Ohio",Toledo,Ohio,outlook.live.com,Outlook,Google Ad Manager,Smartphone,"21,229.00",8,"18,073.00","19,655.00",10,"$1,550.08",,$193.76,$155.01,$73.02,125.00%,0.04%,91.95%
Lotame>Online Shoppers>Online Shoppers,Lotame,Online Shoppers,Online Shoppers,,,,,300x250,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo,Michigan",Grand Rapids-Kalamazoo,Michigan,sciencealert.com,Sciencealert,BidSwitch,Smartphone,"13,347.00",8,"8,357.00","11,461.00",10,"$1,543.66",,$192.96,$154.37,$115.66,125.00%,0.06%,72.92%
Mobile - US>Food>Restaurant>Brand>Five Guys,Mobile - US,Food,Restaurant,Brand,Five Guys,,,300x250,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,ebay.com,Ebay,BidSwitch,Smartphone,"9,210.00",8,"3,798.00","8,619.00",1,"$1,536.63",,$192.08,"$1,536.63",$166.84,12.50%,0.09%,44.07%
Media Source>LBDigital>Open For Business B2B,Media Source,LBDigital,Open For Business B2B,,,,,320x50,Sign up Now - 10% Off,"Los Angeles,California",Los Angeles,California,tomsguide.com,Tomsguide,OpenX,Smartphone,"21,737.00",8,"11,206.00","19,459.00",1,"$1,521.58",,$190.20,"$1,521.58",$70.00,12.50%,0.04%,57.59%
"US Financial>Estimated Discretionary Spending>Greater than $2,500",US Financial,Estimated Discretionary Spending,"Greater than $2,500",,,,,320x50,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,ebay.com,Ebay,Google Ad Manager,Smartphone,"126,337.00",8,"51,394.00","117,635.00",5,"$1,487.09",,$185.89,$297.42,$11.77,62.50%,0.01%,43.69%
Lotame>Travel>Winter Holiday Travel,Lotame,Travel,Winter Holiday Travel,,,,,300x250,Sign up Now - 10% Off,"San Francisco,California",San Francisco,California,investing.com,Investing,Magnite DV+,Apple PC,"81,486.00",8,"57,653.00","76,803.00",6,"$1,463.84",,$182.98,$243.97,$17.96,75.00%,0.01%,75.07%
Online Behavior>United States>B2B>Occupation>Entrepreneur,Online Behavior,United States,B2B,Occupation,Entrepreneur,,,320x50,10% Discount - Ends 6/1,"San Francisco,California",San Francisco,California,weather.com,Weather,PubMatic,Smartphone,"686,858.00",7,"81,956.00","624,118.00",19,"$7,467.08",,"$1,066.73",$393.00,$10.87,271.43%,0.00%,13.13%
Online Behavior>United States>The Changing Consumer>Online Retailers,Online Behavior,United States,The Changing Consumer,Online Retailers,,,,320x50,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,investing.com,Investing,Google Ad Manager,Smartphone,"42,759.00",7,"17,744.00","34,812.00",12,"$6,316.49",,$902.36,$526.37,$147.72,171.43%,0.02%,50.97%
Online Behavior>United States>Autos and Vehicles>Vehicle Parts and Accessories,Online Behavior,United States,Autos and Vehicles,Vehicle Parts and Accessories,,,,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,pandora.com,Pandora,Xandr - Monetize SSP (AppNexus),Smartphone,"58,477.00",7,"43,554.00","56,558.00",19,"$5,247.62",,$749.66,$276.19,$89.74,271.43%,0.01%,77.01%
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 18-44,Online Behavior,United States,Validated Demographic,Gender and Age Combined,Females 18-44,,,320x50,10% Discount - Ends 6/1,"Augusta,Georgia",Augusta,Georgia,mail.yahoo.com,Mail,PubMatic,Smartphone,"207,685.00",7,"20,134.00","30,708.00",34,"$5,239.20",,$748.46,$154.09,$25.23,485.71%,0.00%,65.57%
Online Behavior>United States>Intent>Travel>Business Travel,Online Behavior,United States,Intent,Travel,Business Travel,,,300x250,Sign up Now - 10% Off,"New York City,New York",New York City,New York,gamerant.com,Gamerant,Google Ad Manager,Smartphone,"17,770.00",7,"12,771.00","16,749.00",5,"$5,195.23",,$742.18,"$1,039.05",$292.36,71.43%,0.04%,76.25%
Online Behavior>United States>Food and Drink>Food and Grocery Delivery,Online Behavior,United States,Food and Drink,Food and Grocery Delivery,,,,300x250,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,ebay.com,Ebay,Google Ad Manager,Smartphone,"262,807.00",7,"109,871.00","236,426.00",12,"$5,150.47",,$735.78,$429.21,$19.60,171.43%,0.00%,46.47%
Online Behavior>United States>Sports>Sports League>NFL,Online Behavior,United States,Sports,Sports League,NFL,,,320x50,Sign up Now - 10% Off,"Los Angeles,California",Los Angeles,California,alotfinance.com,Alotfinance,OpenX,Smartphone,"40,447.00",7,"16,663.00","29,774.00",12,"$5,083.89",,$726.27,$423.66,$125.69,171.43%,0.02%,55.96%
Online Behavior>United States>Arts and Entertainment>Movies,Online Behavior,United States,Arts and Entertainment,Movies,,,,300x250,10% Discount - Ends 6/1,"Nashville,Tennessee",Nashville,Tennessee,funnyand.com,Funnyand,Google Ad Manager,Smartphone,"9,273.00",7,"4,648.00","8,751.00",1,"$4,986.52",,$712.36,"$4,986.52",$537.75,14.29%,0.08%,53.11%
Online Behavior>United States>The Changing Consumer>Internet Connection,Online Behavior,United States,The Changing Consumer,Internet Connection,,,,300x250,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,businessinsider.com,Businessinsider,Google Ad Manager,Windows PC,"27,202.00",7,"5,202.00","23,474.00",1,"$4,253.98",,$607.71,"$4,253.98",$156.38,14.29%,0.03%,22.16%
Online Behavior>United States>B2B>Occupation>ComputerProgrammer,Online Behavior,United States,B2B,Occupation,ComputerProgrammer,,,300x250,10% Discount - Ends 6/1,"Chattanooga,Tennessee",Chattanooga,Tennessee,realtor.com,Realtor,Yahoo Exchange,Apple PC,"114,194.00",7,"50,923.00","104,074.00",2,"$4,036.09",,$576.58,"$2,018.04",$35.34,28.57%,0.01%,48.93%
US>Reach>Propensity Models>Household Consumer Expenditures>Home Office,US,Reach,Propensity Models,Household Consumer Expenditures,Home Office,,,320x50,Subscribe Today - 10% Discount,"Mobile,Alabama-Pensacola,Florida",#REF!,,calculator.net,Calculator,Index Exchange,Smartphone,"36,431.00",7,"31,262.00","35,043.00",11,"$3,285.83",,$469.40,$298.71,$90.19,157.14%,0.02%,89.21%
US>B2B>B2B Decision Maker Responsibilities>Company Liability or Insurance,US,B2B,B2B Decision Maker Responsibilities,Company Liability or Insurance,,,,300x250,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,citationmachine.net,Citationmachine,Google Ad Manager,Windows PC,"31,443.00",7,"19,134.00","28,059.00",9,"$2,122.77",,$303.25,$235.86,$67.51,128.57%,0.02%,68.19%
Telecommunications (Telco)>Subscribers,Telecommunications (Telco),Subscribers,,,,,,320x50,Sign up Today - 10% Off,"Tallahassee,Florida-Thomasville,Georgia",#REF!,,dailydot.com,Dailydot,Google Ad Manager,Smartphone,"29,393.00",7,"3,277.00","25,959.00",19,"$2,120.76",,$302.97,$111.62,$72.15,271.43%,0.02%,12.62%
Media and Entertainment>Television (TV)>Viewership,Media and Entertainment,Television (TV),Viewership,,,,,300x250,Sign up Today - 10% Off,"New York City,New York",New York City,New York,womenshealthmag.com,Womenshealthmag,BidSwitch,Smartphone,"14,693.00",7,"6,597.00","13,508.00",4,"$2,047.35",,$292.48,$511.84,$139.34,57.14%,0.05%,48.84%
US>Home Renovation>Home Renovators,US,Home Renovation,Home Renovators,,,,,300x250,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,thesaltymarshmallow.com,Thesaltymarshmallow,Google Ad Manager,Smartphone,"15,547.00",7,"7,615.00","14,939.00",3,"$1,767.46",,$252.49,$589.15,$113.69,42.86%,0.05%,50.97%
OnAudience>Intent>Baby & Toddler,OnAudience,Intent,Baby & Toddler,,,,,300x250,Sign up Now - 10% Off,"Memphis,Tennessee",Memphis,Tennessee,topclassactions.com,Topclassactions,Index Exchange,Windows PC,"16,628.00",7,"7,974.00","15,969.00",13,"$1,665.97",,$238.00,$128.15,$100.19,185.71%,0.04%,49.93%
OnAudience>Interest>Life Stage,OnAudience,Interest,Life Stage,,,,,300x250,10% Discount - Ends 6/1,"Tallahassee,Florida-Thomasville,Georgia",#REF!,,ebay.com,Ebay,Google Ad Manager,Smartphone,"189,462.00",7,"53,431.00","163,634.00",5,"$1,625.17",,$232.17,$325.03,$8.58,71.43%,0.00%,32.65%
US>Reach>Sociodemographic>Dwelling Type>Multi-family Dwelling Unit,US,Reach,Sociodemographic,Dwelling Type,Multi-family Dwelling Unit,,,300x50,Sign up Now - 10% Off,"San Francisco,California",San Francisco,California,activebeat.com,Activebeat,BidSwitch,Smartphone,"68,704.00",7,"31,283.00","59,462.00",16,"$1,605.57",,$229.37,$100.35,$23.37,228.57%,0.01%,52.61%
